"image.src","image.text","name.href","name.text","index","url"
"http://static.rada.gov.ua/dep_img7/d34_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/11101/8","Глазунов Сергій Миколайович","86","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but56.jpg","","http://itd.rada.gov.ua/mps/info/expage/15659/8","Головко Валерій Анатолійович","87","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d164_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15813/8","Головко Михайло Йосифович","88","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu11.jpg","","http://itd.rada.gov.ua/mps/info/expage/2117/8","Голуб Олександр Володимирович","89","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d51_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15749/8","Гончаров Анатолій Дмитрович","90","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu14.jpg","","http://itd.rada.gov.ua/mps/info/expage/15691/8","Гончаров Сергій Васильович","91","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu13.jpg","","http://itd.rada.gov.ua/mps/info/expage/11143/8","Гордієнко Сергій Володимирович","92","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d171_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/11105/8","Горіна Ірина Анатоліївна","93","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d105_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15779/8","Горохов Сергій Олександрович","94","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d134_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/2367/8","Гриневецький Сергій Рафаїлович","95","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but14.jpg","","http://itd.rada.gov.ua/mps/info/expage/15646/8","Гриневич Лілія Михайлівна","96","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but70.jpg","","http://itd.rada.gov.ua/mps/info/expage/5414/8","Гринів Ігор Олексійович","97","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but3.jpg","","http://itd.rada.gov.ua/mps/info/expage/11117/8","Гриценко Анатолій Степанович","98","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d10_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15726/8","Груба Григорій Іванович","99","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d101_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15776/8","Грушевський Віталій Анатолійович","100","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu26.jpg","","http://itd.rada.gov.ua/mps/info/expage/14554/8","Губар Віктор Іванович","101","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d30_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15740/8","Гузенко Костянтин Олександрович","102","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/ud17.jpg","","http://itd.rada.gov.ua/mps/info/expage/822/8","Гурвіц Едуард Йосипович","103","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but57.jpg","","http://itd.rada.gov.ua/mps/info/expage/11147/8","Данілов Віталій Богданович","104","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d197_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/6549/8","Даценко Леонід Миколайович","105","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d8_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/8756/8","Дейч Борис Давидович","106","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu33.jpg","","http://itd.rada.gov.ua/mps/info/expage/17292/8","Демедюк Василь Харитонович","107","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg28.jpg","","http://itd.rada.gov.ua/mps/info/expage/9780/8","Демидко Володимир Миколайович","108","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d114_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/11113/8","Демішкан Володимир Федорович","109","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg34.jpg","","http://itd.rada.gov.ua/mps/info/expage/7895/8","Демянко Микола Іванович","110","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d173_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15815/8","Денисенко Анатолій Петрович","111","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but38.jpg","","http://itd.rada.gov.ua/mps/info/expage/8757/8","Денісова Людмила Леонтіївна","112","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but36.jpg","","http://itd.rada.gov.ua/mps/info/expage/8758/8","Деревляний Василь Тимофійович","113","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d87_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15768/8","Дерев'янко Юрій Богданович","114","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d159_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/2284/8","Деркач Андрій Леонідович","115","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but12.jpg","","http://itd.rada.gov.ua/mps/info/expage/2394/8","Джемілєв Мустафа","116","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d15_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/8760/8","Джига Микола Васильович","117","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu19.jpg","","http://itd.rada.gov.ua/mps/info/expage/7140/8","Дзарданов Микола Сергійович","118","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but34.jpg","","http://itd.rada.gov.ua/mps/info/expage/15652/8","Дзензерський Денис Вікторович","119","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d1_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15721/8","Дзоз Віталіна Олексіївна","120","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d86_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15767/8","Дирів Анатолій Борисович","121","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d184_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/9093/8","Дмитрук Микола Ілліч","122","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d178_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15818/8","Добкін Дмитро Маркович","123","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg71.jpg","","http://itd.rada.gov.ua/mps/info/expage/15644/8","Долженков Олександр Валерійович","124","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d11_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15727/8","Домбровський Олександр Георгійович","125","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
